name,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Manny Leaks,,446,63,12607,15.0,.482,.001,.296,9.9,17.2,14.3,5.1,0.5,2.3,11.0,18.9,4.0,10.3,14.4,.055,-3.4,0.0,-3.4,-0.3,
Allen Leavell,,700,244,16248,14.7,.520,.106,.306,1.9,5.9,3.9,27.9,2.7,0.4,17.1,19.1,16.0,13.9,29.9,.088,0.1,0.3,0.4,9.8,
Eric Leckner,,449,60,5448,9.8,.549,.004,.435,7.6,21.7,14.7,5.7,0.8,1.6,18.8,16.3,0.4,5.8,6.2,.054,-4.7,-0.6,-5.3,-4.6,
Clyde Lee,,742,35,19885,11.9,.470,,.381,11.4,20.6,17.3,5.1,0.7,0.6,,,4.8,28.7,33.5,.081,-1.7,-0.6,-2.3,-0.4,
Courtney Lee,,811,518,21938,12.2,.549,.344,.173,1.9,9.1,5.5,9.6,1.9,0.8,9.7,16.1,20.9,18.4,39.3,.086,-1.0,0.4,-0.6,7.9,
Damion Lee,,315,58,6187,11.6,.572,.523,.213,2.5,15.2,8.8,9.8,1.5,0.4,10.3,16.7,4.5,6.1,10.6,.082,-1.6,-0.1,-1.7,0.5,
David Lee,,829,505,24293,19.1,.577,.003,.311,9.9,24.0,17.0,12.6,1.3,1.0,13.0,20.6,49.6,26.4,76.0,.150,1.3,-0.2,1.1,19.2,
George Lee,,297,,5158,12.1,.464,,.522,,,,5.8,,,,,2.7,3.9,6.6,.061,,,,,
Ron Lee,,448,7,9586,12.4,.466,.042,.296,4.4,9.5,6.9,23.2,4.1,0.7,22.8,17.0,-4.2,14.9,10.7,.054,-2.6,2.3,-0.4,3.9,
Tim Legler,,310,4,5253,13.6,.570,.354,.278,2.6,7.8,5.2,11.9,1.4,0.5,9.2,17.2,10.0,2.0,12.1,.110,0.6,-0.7,-0.1,2.5,
George Lehmann,,376,,9712,12.8,.520,.290,.251,1.1,4.0,2.9,23.5,1.1,0.4,19.2,20.3,11.6,7.0,18.6,.092,-1.5,-2.4,-3.9,-0.3,
Alex Len,,690,244,11754,15.0,.562,.100,.395,10.8,22.8,16.7,7.4,1.0,4.4,15.3,17.4,11.4,12.4,23.9,.097,-1.9,0.0,-1.9,0.3,
Voshon Lenard,,565,321,15349,13.8,.526,.414,.199,2.6,9.4,6.0,13.4,1.5,0.6,10.5,21.2,18.6,11.0,29.6,.093,0.7,-0.7,0.0,7.9,
Kawhi Leonard,,733,704,23283,23.2,.604,.282,.308,4.3,17.7,11.2,16.0,2.7,1.6,9.0,25.5,62.0,40.7,102.7,.212,4.5,1.9,6.5,49.9,
Meyers Leonard,,456,95,7272,12.0,.589,.425,.163,5.1,21.5,13.4,8.0,0.6,1.4,12.7,15.0,9.2,6.7,15.8,.104,-1.3,-0.1,-1.5,1.0,
Slick Leonard,,426,,11632,10.3,.409,,.314,,,,,,,,,-3.6,7.4,3.8,.016,,,,,
Jim Les,,321,13,4222,12.4,.559,.528,.352,2.3,8.2,5.2,30.4,2.0,0.3,21.4,13.8,4.8,3.4,8.1,.092,-0.5,-0.2,-0.7,1.4,
Ronnie Lester,,250,116,4959,13.0,.533,.015,.397,3.4,7.1,5.3,27.4,1.8,0.4,21.8,17.9,3.4,3.0,6.3,.061,-0.4,-0.9,-1.3,0.9,
Jon Leuer,,377,80,5945,14.5,.544,.188,.201,6.5,20.4,13.3,8.0,1.2,1.4,10.5,18.3,6.4,6.8,13.2,.107,-0.8,0.1,-0.7,2.0,
Andrew Levane,,103,,68,-4.1,.339,,.172,,,,,,,,,-1.6,2.4,0.8,-0.275,,,,,
Fat Lever,,752,599,23814,17.8,.496,.055,.243,6.1,14.5,10.1,26.4,3.2,0.5,12.3,19.7,29.4,31.7,61.2,.123,1.7,1.6,3.3,32.1,
