name,pos,games,games_started,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,tpl_dbl,awards
Jordan Bell,,161,17,1937,257,466,.552,4,20,.200,253,446,.567,.556,75,118,.636,153,344,497,201,62,122,118,200,593,0,
Raja Bell,,706,479,19813,2581,5949,.434,956,2357,.406,1625,3592,.452,.514,880,1101,.799,408,1560,1968,1208,484,130,695,1840,6998,0,
Walt Bellamy,,1043,,38940,7914,15340,.516,,,,,,,,5113,8088,.632,264,481,14241,2544,52,48,,3536,20941,4,
DeAndre' Bembry,,296,55,5670,720,1519,.474,106,375,.283,614,1144,.537,.509,204,334,.611,185,765,950,533,291,120,367,533,1750,0,
Jonathan Bender,,262,28,3847,509,1221,.417,101,297,.340,408,924,.442,.458,334,438,.763,153,429,582,170,43,169,258,391,1453,0,
Benoit Benjamin,,807,614,21911,3588,7224,.497,1,21,.048,3587,7203,.498,.497,2046,2837,.721,1459,4604,6063,1070,522,1581,1847,2292,9223,1,
Corey Benjamin,,153,16,2191,317,812,.390,57,197,.289,260,615,.423,.425,144,221,.652,84,175,259,143,71,48,164,316,835,0,
Mario Bennett,,68,18,606,111,208,.534,1,3,.333,110,205,.537,.536,46,90,.511,84,98,182,24,31,22,33,112,269,0,
Mel Bennett,,204,1,3725,481,1258,.382,0,4,.000,481,1254,.384,.382,440,722,.609,442,510,952,204,129,98,241,533,1402,0,
David Benoit,,492,179,9314,1335,3051,.438,211,661,.319,1124,2390,.470,.472,574,722,.795,576,1407,1983,287,216,246,424,1021,3455,0,
Kent Benson,,680,233,15719,2578,5224,.493,7,34,.206,2571,5190,.495,.494,1005,1327,.757,1216,2665,3881,1203,605,586,1069,1935,6168,0,
Dāvis Bertāns,,475,41,8546,1186,2810,.422,885,2234,.396,301,576,.523,.580,404,468,.863,147,1012,1159,448,205,167,250,770,3661,0,
Travis Best,,708,148,15150,2002,4642,.431,266,772,.345,1736,3870,.449,.460,1106,1324,.835,230,1019,1249,2444,661,60,928,1616,5376,0,
Patrick Beverley,,666,518,17689,1929,4671,.413,973,2623,.371,956,2048,.467,.517,689,906,.760,685,2044,2729,2245,708,343,792,1947,5520,0,
Al Bianchi,,687,,13649,2212,5919,.374,,,,,,,,1126,1592,.707,,,1722,1497,,,,2069,5550,0,
Henry Bibby,,675,208,15475,2149,5073,.424,43,147,.293,2106,4926,.428,.428,1434,1834,.782,463,1036,1581,2259,561,34,573,1364,5775,0,
Mike Bibby,,1001,950,33962,5410,12412,.436,1517,3999,.379,3893,8413,.463,.497,2361,2943,.802,529,2574,3103,5517,1172,149,2134,1931,14698,2,
Andris Biedriņš,,516,311,11146,1432,2409,.594,0,2,.000,1432,2407,.595,.594,383,766,.500,1190,2441,3631,467,331,580,479,1626,3247,0,
Chauncey Billups,,1043,937,33008,4738,11413,.415,1830,4725,.387,2908,6688,.435,.495,4496,5029,.894,480,2512,2992,5636,1051,168,2138,2169,15802,2,
Dave Bing,,901,,32769,6962,15769,.441,,,,,,,,4403,5683,.775,418,741,3420,5397,483,89,216,2615,18327,3,
Khem Birch,,282,75,4825,537,1032,.520,14,70,.200,523,962,.544,.527,314,450,.698,544,697,1241,274,136,154,153,460,1402,0,
